event_id,created_datetime,start_datetime,resolved_datetime,closed_datetime,end_datetime,event_cause,sub_cause,description,comment,priority,requires_road_closure,corridor,zone,ward,junction,latitude,longitude,veh_type,veh_no,reported_by,source_channel,status,severity_reported,Pot_holes,water_logging,tree_fall,weather,rainfall_mm,temperature_c,lanes_blocked,num_vehicles_involved,injuries,fatalities,responder_unit,response_team_size,diversion_applied,signal_id,camera_id,district,police_station,contact_number,landmark,direction,updated_datetime,remarks
EVT-000025,2023-12-15T22:34:00+00:00,2023-12-15T22:34:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Mysore Road,Z4,W181,,12.878887,77.546203,two_wheeler,KA28AB0933,officer,radio,open,medium,0,0,0,clear,4.3,23.5,1,1,0,0,,3,false,SIG101,,Bengaluru,PS20,,,EB,2023-12-15T22:34:00+00:00,
EVT-000026,2024-04-01T01:27:00+00:00,2024-04-01T01:27:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Tumkur Road,Z5,W117,,13.029206,77.558026,car,KA42AB2462,officer,radio,open,low,0,0,0,rain,8.64,29.2,0,3,0,0,,0,false,SIG71,,Bengaluru,PS26,,,EB,2024-04-01T01:27:00+00:00,
EVT-000027,2024-03-26T07:15:00+00:00,2024-03-26T07:15:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,high,false,ORR West,Z4,W9,,13.084178,77.477226,car,KA07AB0776,officer,radio,open,medium,0,0,0,clear,4.58,27.4,1,1,0,0,,2,false,SIG29,,Bengaluru,PS36,,,SB,2024-03-26T07:15:00+00:00,
EVT-000028,2024-01-19T00:54:00+00:00,2024-01-19T00:54:00+00:00,,,,pot_holes,,pothole causing slowdown,,medium,false,Mysore Road,Z1,W198,,12.930179,77.673176,,,officer,radio,open,low,1,0,0,clear,0.00,21.3,1,3,0,0,,1,false,SIG152,,Bengaluru,PS32,,,SB,2024-01-19T00:54:00+00:00,
EVT-000029,2023-11-02T22:36:00+00:00,2023-11-02T22:36:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,ORR West,Z5,W89,,12.863214,77.694152,lcv,KA03AB4337,officer,radio,open,low,0,0,0,clear,0.00,30.7,1,3,0,0,,0,false,SIG51,,Bengaluru,PS9,,,NB,2023-11-02T22:36:00+00:00,
EVT-000030,2024-04-13T04:27:00+00:00,2024-04-13T04:27:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Bellary Road,Z5,W129,,13.061242,77.478014,lcv,KA43AB3665,officer,radio,open,medium,0,0,0,clear,0.00,28.1,1,3,0,0,,1,false,SIG153,,Bengaluru,PS42,,,SB,2024-04-13T04:27:00+00:00,
EVT-000031,2024-01-27T08:17:00+00:00,2024-01-27T08:17:00+00:00,,,,pot_holes,,pothole causing slowdown,,high,false,Kanakapura Road,Z4,W125,,12.938268,77.519397,,,officer,radio,open,medium,1,0,0,clear,0.00,25.5,0,2,0,0,,3,false,SIG153,,Bengaluru,PS34,,,SB,2024-01-27T08:17:00+00:00,
EVT-000032,2024-02-11T12:58:00+00:00,2024-02-11T12:58:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,ORR West,Z8,W102,J288,13.066781,77.728708,auto,KA05AB1140,officer,radio,open,low,0,0,0,rain,9.49,32.0,0,3,0,0,,2,false,SIG107,,Bengaluru,PS28,,,WB,2024-02-11T12:58:00+00:00,
EVT-000033,2024-02-27T09:25:00+00:00,2024-02-27T09:25:00+00:00,,,,others,,incident reported,,medium,false,Sarjapur Road,Z8,W65,,13.070168,77.486294,,,officer,radio,open,medium,0,0,0,clear,0.00,24.1,1,3,0,0,,2,false,SIG132,,Bengaluru,PS14,,,WB,2024-02-27T09:25:00+00:00,
EVT-000034,2023-11-10T23:09:00+00:00,2023-11-10T23:09:00+00:00,,,,water_logging,,water logging slowing traffic; road closure required,,low,true,Mysore Road,Z4,W159,,12.908015,77.652788,,,officer,radio,open,medium,0,1,0,clear,0.00,24.7,1,2,0,0,,0,true,SIG157,,Bengaluru,PS26,,,SB,2023-11-10T23:09:00+00:00,
EVT-000035,2024-03-02T14:08:00+00:00,2024-03-02T14:08:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Tumkur Road,Z4,W79,,13.097102,77.518154,bus,KA41AB0848,officer,radio,open,low,0,0,0,rain,17.3,27.6,1,2,0,0,,3,false,SIG70,,Bengaluru,PS40,,,EB,2024-03-02T14:08:00+00:00,
EVT-000036,2024-04-29T18:32:00+00:00,2024-04-29T18:32:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Tumkur Road,Z1,W14,,12.845124,77.600517,truck,KA57AB6344,officer,radio,open,medium,0,0,0,rain,13.09,29.6,0,2,0,0,,2,false,SIG146,,Bengaluru,PS48,,,WB,2024-04-29T18:32:00+00:00,
EVT-000037,2024-03-16T02:31:00+00:00,2024-03-16T02:31:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Bellary Road,Z1,W60,,12.933523,77.508187,auto,KA21AB8742,officer,radio,open,low,0,0,0,clear,0.00,27.2,0,1,0,0,,2,false,SIG42,,Bengaluru,PS39,,,EB,2024-03-16T02:31:00+00:00,
EVT-000038,2024-03-21T20:55:00+00:00,2024-03-21T20:55:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,ORR East,Z7,W102,,12.850394,77.75753,auto,KA44AB1029,officer,radio,open,low,0,0,0,rain,10.99,23.7,0,1,0,0,,1,false,SIG94,,Bengaluru,PS4,,,WB,2024-03-21T20:55:00+00:00,
EVT-000039,2024-01-22T09:01:00+00:00,2024-01-22T09:01:00+00:00,,,,breakdown,,vehicle breakdown blocking lane; road closure required,,low,true,Tumkur Road,Z2,W83,,12.8725,77.727457,bus,KA10AB0012,officer,radio,open,high,0,0,0,clear,0.00,25.4,3,1,0,0,,2,true,SIG5,,Bengaluru,PS17,,,SB,2024-01-22T09:01:00+00:00,
EVT-000040,2024-01-18T01:41:00+00:00,2024-01-18T01:41:00+00:00,,,,pot_holes,,pothole causing slowdown,,low,false,Magadi Road,Z3,W96,,13.046352,77.506641,,,officer,radio,open,low,1,0,0,rain,10.77,27.6,1,1,0,0,,1,false,SIG23,,Bengaluru,PS2,,,WB,2024-01-18T01:41:00+00:00,
EVT-000041,2024-03-27T19:07:00+00:00,2024-03-27T19:07:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Bellary Road,Z7,W106,,13.064152,77.725202,bus,KA37AB2911,officer,radio,open,low,0,0,0,clear,0.00,25.1,0,1,0,0,,2,false,SIG75,,Bengaluru,PS48,,,EB,2024-03-27T19:07:00+00:00,
EVT-000042,2024-03-12T21:06:00+00:00,2024-03-12T21:06:00+00:00,,,,others,,incident reported,,high,false,Tumkur Road,Z7,W6,,12.84552,77.511301,,,officer,radio,open,high,0,0,0,rain,6.44,22.2,1,3,0,0,,3,false,SIG50,,Bengaluru,PS37,,,WB,2024-03-12T21:06:00+00:00,
EVT-000043,2023-12-28T09:42:00+00:00,2023-12-28T09:42:00+00:00,,,,tree_fall,,tree fallen across carriageway; road closure required,,low,true,ORR West,Z1,W110,,12.876804,77.738164,,,officer,radio,open,medium,0,0,1,clear,0.00,26.1,1,3,0,0,,2,true,SIG88,,Bengaluru,PS9,,,EB,2023-12-28T09:42:00+00:00,
EVT-000044,2024-01-20T22:33:00+00:00,2024-01-20T22:33:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Mysore Road,Z3,W123,,12.954888,77.670062,lcv,KA37AB5326,officer,radio,open,medium,0,0,0,rain,8.36,29.3,1,3,0,0,,1,false,SIG125,,Bengaluru,PS36,,,WB,2024-01-20T22:33:00+00:00,
EVT-000045,2024-04-19T14:45:00+00:00,2024-04-19T14:45:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,ORR West,Z2,W72,,12.897867,77.726285,car,KA57AB9834,officer,radio,open,low,0,0,0,clear,0.00,22.5,0,3,0,0,,1,false,SIG78,,Bengaluru,PS44,,,EB,2024-04-19T14:45:00+00:00,
EVT-000046,2024-01-14T18:04:00+00:00,2024-01-14T18:04:00+00:00,,,,tree_fall,,tree fallen across carriageway,,medium,false,Tumkur Road,Z7,W159,,12.899275,77.690516,,,officer,radio,open,low,0,0,1,clear,0.00,25.0,1,1,0,0,,4,false,SIG163,,Bengaluru,PS19,,,WB,2024-01-14T18:04:00+00:00,
EVT-000047,2024-03-10T04:41:00+00:00,2024-03-10T04:41:00+00:00,,,,tree_fall,,tree fallen across carriageway; road closure required,,medium,true,Tumkur Road,Z4,W67,,12.878022,77.51049,,,officer,radio,open,critical,0,0,1,clear,0.00,27.3,2,2,0,0,,0,true,SIG56,,Bengaluru,PS2,,,WB,2024-03-10T04:41:00+00:00,
EVT-000048,2024-01-25T14:11:00+00:00,2024-01-25T14:11:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Mysore Road,Z1,W2,J193,13.029231,77.613607,truck,KA53AB1106,officer,radio,open,low,0,0,0,clear,0.00,26.0,1,1,0,0,,1,false,SIG52,,Bengaluru,PS38,,,SB,2024-01-25T14:11:00+00:00,
EVT-000049,2024-04-07T16:25:00+00:00,2024-04-07T16:25:00+00:00,,,,public_event,,public event procession,,critical,false,Sarjapur Road,Z1,W148,,12.88794,77.538509,,,officer,radio,open,medium,0,0,0,clear,0.00,25.1,0,2,0,0,,0,false,SIG140,,Bengaluru,PS19,,,EB,2024-04-07T16:25:00+00:00,
EVT-000050,2024-04-02T11:18:00+00:00,2024-04-02T11:18:00+00:00,,,,accident,,"accident reported, vehicles involved; road closure required",,high,true,Bellary Road,Z6,W20,,13.085479,77.515643,,,officer,radio,open,critical,0,0,0,rain,14.36,27.2,1,1,1,0,,0,true,SIG41,,Bengaluru,PS44,,,EB,2024-04-02T11:18:00+00:00,
EVT-000051,2024-03-15T05:17:00+00:00,2024-03-15T05:17:00+00:00,,,,water_logging,,water logging slowing traffic,,low,false,Kanakapura Road,Z3,W103,,12.993626,77.626336,,,officer,radio,open,low,0,1,0,clear,2.72,25.3,0,2,0,0,,0,false,SIG59,,Bengaluru,PS7,,,NB,2024-03-15T05:17:00+00:00,
EVT-000052,2024-04-21T08:34:00+00:00,2024-04-21T08:34:00+00:00,2024-04-21T08:48:28.009269+00:00,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Sarjapur Road,Z8,W121,,12.956131,77.624885,lcv,KA39AB1872,officer,radio,resolved,medium,0,0,0,rain,7.2,17.2,0,1,0,0,,4,false,SIG134,,Bengaluru,PS37,,,SB,2024-04-21T08:34:00+00:00,
EVT-000053,2024-01-24T20:17:00+00:00,2024-01-24T20:17:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Kanakapura Road,Z2,W183,,13.025314,77.460716,two_wheeler,KA33AB9932,officer,radio,open,medium,0,0,0,clear,1.99,25.2,1,3,0,0,,0,false,SIG66,,Bengaluru,PS23,,,WB,2024-01-24T20:17:00+00:00,
EVT-000054,2023-11-24T08:30:00+00:00,2023-11-24T08:30:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,high,false,Old Madras Road,Z5,W189,,12.891398,77.670209,auto,KA59AB8459,officer,radio,open,medium,0,0,0,clear,0.00,27.9,1,3,0,0,,2,false,SIG48,,Bengaluru,PS44,,,EB,2023-11-24T08:30:00+00:00,
EVT-000055,2024-03-15T16:20:00+00:00,2024-03-15T16:20:00+00:00,,,,others,,incident reported,,low,false,ORR West,Z5,W117,J204,12.961597,77.660592,,,officer,radio,open,low,0,0,0,clear,1.34,23.8,1,3,0,0,,2,false,SIG77,,Bengaluru,PS22,,,SB,2024-03-15T16:20:00+00:00,
EVT-000056,2023-11-23T18:30:00+00:00,2023-11-23T18:30:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Old Madras Road,Z8,W133,,12.919794,77.502983,lcv,KA17AB2834,officer,radio,open,low,0,0,0,clear,0.00,27.0,1,3,0,0,,4,false,SIG122,,Bengaluru,PS10,,,WB,2023-11-23T18:30:00+00:00,
EVT-000057,2024-02-07T02:47:00+00:00,2024-02-07T02:47:00+00:00,,,,accident,,"accident reported, vehicles involved",,low,false,Sarjapur Road,Z6,W107,J160,13.016966,77.597622,,,officer,radio,open,medium,0,0,0,clear,3.22,28.4,0,3,2,0,,1,false,SIG53,,Bengaluru,PS42,,,EB,2024-02-07T02:47:00+00:00,
EVT-000058,2024-03-27T03:35:00+00:00,2024-03-27T03:35:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,high,false,Old Madras Road,Z7,W21,,12.909666,77.659894,bus,KA29AB6337,officer,radio,open,medium,0,0,0,clear,0.00,26.4,0,1,0,0,,2,false,SIG97,,Bengaluru,PS18,,,SB,2024-03-27T03:35:00+00:00,
EVT-000059,2023-12-23T14:49:00+00:00,2023-12-23T14:49:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,Magadi Road,Z1,W23,J156,12.895851,77.507729,auto,KA02AB4227,officer,radio,open,low,0,0,0,clear,1.54,34.4,1,3,0,0,,4,false,SIG48,,Bengaluru,PS49,,,EB,2023-12-23T14:49:00+00:00,
EVT-000060,2023-11-13T14:31:00+00:00,2023-11-13T14:31:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,high,false,Magadi Road,Z2,W100,,13.029279,77.767533,car,KA02AB9993,officer,radio,open,medium,0,0,0,rain,5.92,25.8,0,1,0,0,,0,false,SIG113,,Bengaluru,PS36,,,NB,2023-11-13T14:31:00+00:00,
EVT-000061,2024-04-25T18:37:00+00:00,2024-04-25T18:37:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,low,false,ORR East,Z4,W64,,13.072403,77.61229,two_wheeler,KA14AB8929,officer,radio,open,medium,0,0,0,clear,0.00,26.3,1,2,0,0,,4,false,SIG151,,Bengaluru,PS5,,,SB,2024-04-25T18:37:00+00:00,
EVT-000062,2023-11-28T18:54:00+00:00,2023-11-28T18:54:00+00:00,2023-11-28T19:55:50.961677+00:00,,,breakdown,,vehicle breakdown blocking lane; road closure required,,low,true,Mysore Road,Z1,W30,J108,12.996293,77.713952,two_wheeler,KA49AB0434,officer,radio,resolved,high,0,0,0,clear,0.38,25.5,2,1,0,0,,2,true,SIG121,,Bengaluru,PS29,,,SB,2023-11-28T18:54:00+00:00,
EVT-000063,2024-02-06T12:30:00+00:00,2024-02-06T12:30:00+00:00,,,,pot_holes,,pothole causing slowdown,,medium,false,ORR East,Z3,W35,,13.078701,77.583537,,,officer,radio,open,medium,1,0,0,rain,6.14,28.9,1,3,0,0,,0,false,SIG162,,Bengaluru,PS33,,,NB,2024-02-06T12:30:00+00:00,
EVT-000064,2024-01-21T05:16:00+00:00,2024-01-21T05:16:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,high,false,Kanakapura Road,Z6,W110,,13.046055,77.468239,two_wheeler,KA32AB0494,officer,radio,open,low,0,0,0,clear,0.47,22.6,0,2,0,0,,2,false,SIG102,,Bengaluru,PS13,,,SB,2024-01-21T05:16:00+00:00,
EVT-000065,2024-01-15T18:38:00+00:00,2024-01-15T18:38:00+00:00,,,,pot_holes,,pothole causing slowdown,,medium,false,Magadi Road,Z6,W72,,13.099408,77.66035,,,officer,radio,open,medium,1,0,0,rain,7.13,27.8,1,1,0,0,,4,false,SIG147,,Bengaluru,PS5,,,SB,2024-01-15T18:38:00+00:00,
EVT-000066,2024-01-25T21:56:00+00:00,2024-01-25T21:56:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Sarjapur Road,Z4,W104,,13.089482,77.559323,truck,KA11AB3437,officer,radio,open,low,0,0,0,clear,0.00,23.4,0,2,0,0,,2,false,SIG59,,Bengaluru,PS17,,,SB,2024-01-25T21:56:00+00:00,
EVT-000067,2024-03-25T00:04:00+00:00,2024-03-25T00:04:00+00:00,,,,accident,,"accident reported, vehicles involved",,low,false,Bellary Road,Z8,W150,,12.992558,77.76897,,,officer,radio,open,high,0,0,0,clear,0.00,23.3,1,1,1,0,,0,false,SIG54,,Bengaluru,PS23,,,WB,2024-03-25T00:04:00+00:00,
EVT-000068,2024-04-16T09:56:00+00:00,2024-04-16T09:56:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Magadi Road,Z2,W195,J42,13.010906,77.571189,bus,KA40AB4086,officer,radio,open,low,0,0,0,clear,2.16,29.1,0,3,0,0,,3,false,SIG63,,Bengaluru,PS46,,,WB,2024-04-16T09:56:00+00:00,
EVT-000069,2024-04-17T19:59:00+00:00,2024-04-17T19:59:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Tumkur Road,Z5,W19,,13.049703,77.58062,car,KA51AB2145,officer,radio,open,medium,0,0,0,clear,0.00,24.7,1,3,0,0,,3,false,SIG88,,Bengaluru,PS13,,,EB,2024-04-17T19:59:00+00:00,
EVT-000070,2024-03-29T15:34:00+00:00,2024-03-29T15:34:00+00:00,,,,public_event,,public event procession,,low,false,ORR West,Z1,W186,,12.847694,77.690473,,,officer,radio,open,low,0,0,0,clear,0.00,19.5,1,3,0,0,,1,false,SIG82,,Bengaluru,PS10,,,SB,2024-03-29T15:34:00+00:00,
EVT-000071,2024-04-18T11:10:00+00:00,2024-04-18T11:10:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,Magadi Road,Z5,W48,J386,13.088136,77.518159,bus,KA55AB5942,officer,radio,open,low,0,0,0,clear,0.00,26.2,0,2,0,0,,1,false,SIG20,,Bengaluru,PS5,,,SB,2024-04-18T11:10:00+00:00,
EVT-000072,2024-03-26T18:49:00+00:00,2024-03-26T18:49:00+00:00,,,,breakdown,,vehicle breakdown blocking lane,,medium,false,ORR West,Z1,W57,,13.093557,77.467431,two_wheeler,KA56AB5204,officer,radio,open,low,0,0,0,clear,0.00,21.5,1,2,0,0,,3,false,SIG96,,Bengaluru,PS9,,,EB,2024-03-26T18:49:00+00:00,
EVT-000073,2024-02-29T23:13:00+00:00,2024-02-29T23:13:00+00:00,,,,breakdown,,vehicle breakdown blocking lane; road closure required,,medium,true,Old Madras Road,Z5,W188,,13.074601,77.762069,car,KA15AB0807,officer,radio,open,medium,0,0,0,rain,6.45,28.0,1,3,0,0,,4,true,SIG146,,Bengaluru,PS32,,,SB,2024-02-29T23:13:00+00:00,
